"Id","pr_score"
1090562,0.000964023047524834
718,3.56096605861697e-05
1363337,6.48746459574593e-05
1490,3.56096605861697e-05
14656,3.56096605861697e-05
73826,3.56096605861697e-05
449081,3.56096605861697e-05
315544,3.81180205548432e-05
356635,3.95662895401885e-05
191241,3.89740481632e-05
25450,4.51825880758245e-05
18154,1.11294977578231e-05
279,1.77260559709219e-05
5640,8.57110995940476e-06
6927,7.921354063905e-06
49716,8.58306865686795e-06
75694,1.18043996569653e-05
2484501,1.46625714797151e-05
79168,7.44467567337667e-06
1045881,7.75632128153442e-06
3395015,6.67772649500481e-06
1659,8.73054217264736e-06
17465,6.67772649500481e-06
770,6.67772649500481e-06
222569,7.75632128153442e-06
383638,6.77881316665707e-06
57752,6.34467521488007e-06
50135,1.01043831514918e-05
113124,8.35713869113619e-06
108056,6.83494557239352e-06
3827,7.65332859315394e-06
1343,1.15566580123704e-05
9530,9.66659114988597e-06
30717,6.83494557239352e-06
14143,8.92302273240995e-06
1228884,6.83494557239352e-06
1338633,6.83494557239352e-06
5840995,6.83494557239352e-06
3146,6.67772649500481e-06
16076,7.17530893563454e-05
647459,1.08673494415972e-05
26004,6.80920070974755e-06
76661,7.10079683447463e-06
1228,1.8735733855391e-05
2600,1.35580596141743e-05
45249,8.39165579319188e-06
84805,7.7924364673421e-06
24970,7.7924364673421e-06
4200,6.34467521488007e-06
34088,1.47201185135103e-05
41292,9.04116218120409e-06
65977,1.10342177650088e-05
50846,1.10342177650088e-05
164901,6.92250811549858e-06
25188,9.0373750051277e-06
527702,2.70971210454984e-05
70393,9.72652529027704e-06
18071,7.88017874079164e-06
115880,7.11242697783585e-06
107177,7.11242697783585e-06
15673,7.11242697783585e-06
114400,7.11242697783585e-06
23354,2.02248011329052e-05
96780,8.72918855512867e-06
111781,7.11242697783585e-06
107639,8.68987185313541e-06
16883,8.32021465796945e-06
267,1.2561757902528e-05
77507,1.09471051130525e-05
110945,8.74860928240185e-06
11721,7.49763940159643e-06
108130,1.94119939172982e-05
25083,9.03165330518839e-06
1185,7.11242697783585e-06
117280,7.11242697783585e-06
15592,7.71164630368564e-06
98389,7.11242697783585e-06
33111,7.11242697783585e-06
98975,2.7288689938245e-05
120410,7.11242697783585e-06
2300782,7.11242697783585e-06
83591,6.34467521488007e-06
13257,8.14233319242942e-06
114986,1.08388201587534e-05
16085,8.14233319242942e-06
168868,7.24350420365474e-06
20713,9.42316450143333e-06
2611,1.52705643092572e-05
4786305,1.08079848853558e-05
2509,1.46785773841098e-05
10897,1.79274683765779e-05
131824,6.50584691931081e-06
14606,1.17909392911945e-05
