Id,pr_score
1888765,7.73E-06
8291684,2.76E-05
24744,1.69E-05
654031,4.93E-05
3559349,0.001628585
46011,1.46E-05
226513,4.45E-06
1943570,4.45E-06
1092125,5.93E-06
2274773,2.96E-05
4461980,6.62E-06
849204,4.45E-06
5109118,4.45E-06
3964344,7.67E-05
816620,0.009144779
157247,0.007532325
3193,1.52E-05
669073,7.73E-06
1591131,4.45E-06
1523637,1.26E-05
688071,1.30E-05
1018853,3.28E-05
2397327,0.0001307
1491895,0.014445074
6035218,4.45E-06
616443,0.001604063
2235057,9.23E-05
3609014,2.96E-05
2190115,5.22E-05
1609355,9.94E-06
762073,0.000240365
3222782,4.45E-06
752701,3.17E-05
1460657,3.23E-05
2813311,2.96E-05
5938492,6.20E-06
6450187,6.20E-06
2105387,2.96E-05
5449805,2.29E-05
397793,2.15E-05
206446,5.69E-06
1300910,2.86E-05
498622,5.38E-06
2561365,3.92E-05
2802040,0.000845681
896650,6.99E-05
373177,4.45E-06
390426,7.73E-06
4811610,1.40E-05
456692,1.39E-05
78738,1.92E-05
498298,1.15E-05
9048716,2.96E-05
96,1.92E-05
214,4.18E-05
4252964,1.64E-05
644992,5.61E-05
444991,0.000436856
2055998,0.0002482
3915110,1.21E-05
6006728,5.65E-06
566092,3.94E-05
1968934,5.65E-06
763246,3.84E-05
380487,0.000266025
2182928,6.53E-06
1833555,1.05E-05
2226704,6.40E-06
84546,1.39E-05
1427878,0.00093925
512453,5.48E-05
2414374,4.45E-06
4594237,1.89E-05
1001816,4.45E-06
855543,1.41E-05
1589492,8.68E-05
3680525,2.96E-05
560114,6.65E-05
5531076,4.45E-06
7075699,6.96E-06
5531087,4.45E-06
5526568,8.23E-06
1349152,1.68E-05
1001866,2.42E-05
542251,0.000355235
2239631,6.44E-05
5794761,6.96E-05
306087,4.45E-06
39013,8.01E-05
787757,4.45E-06
3072794,2.96E-05
2911701,7.73E-06
1892168,2.96E-05
979614,6.20E-06
2737978,6.50E-05
89781,4.45E-06
858962,1.67E-05
1250301,0.000626826
3611600,4.45E-06
1284960,1.52E-05
3371280,4.45E-06
9395418,7.73E-06
4996779,3.67E-05
1672069,4.45E-06
1215731,6.20E-06
1740487,1.77E-05
1207049,4.54E-05
3579783,4.45E-06
106224,0.000524915
1729859,2.48E-05
227299,0.001082325
3288831,2.03E-05
1262764,4.95E-06
1366427,7.73E-06
477494,9.66E-05
29407,0.000673303
1397051,6.44E-06
1680298,4.45E-06
8237760,7.73E-06
757270,2.32E-05
1984039,0.001455494
8868209,4.45E-06
6225452,7.67E-05
8380476,4.45E-06
288349,4.45E-06
2655118,1.39E-05
4659683,3.57E-05
7948152,1.91E-05
115182,1.23E-05
133802,0.000136503
1469079,4.45E-06
711714,4.45E-06
3086742,7.73E-06
3054641,7.73E-06
4230,4.58E-06
989121,0.002544515
738165,5.48E-05
3765109,5.34E-05
4113542,2.96E-05
1830513,7.63E-06
711308,2.53E-05
1584313,2.96E-05
89904,4.45E-06
2072595,4.63E-06
4932315,4.45E-06
2019247,6.94E-05
5446844,2.96E-05
164142,0.000139854
2411166,4.45E-06
2517209,3.12E-05
2031172,9.49E-06
878775,4.45E-06
4087404,2.96E-05
8429051,6.53E-06
9007957,2.32E-05
2032751,5.88E-05
2808178,8.29E-06
1987598,2.23E-05
1077003,1.81E-05
640095,9.20E-06
4046380,1.46E-05
3709602,1.52E-05
3150271,0.00059638
438017,2.96E-05
6450108,2.96E-05
258400,0.000191232
1698723,1.77E-05
1269037,0.00011458
2769310,8.23E-06
1833177,1.52E-05
2957138,1.05E-05
427485,1.97E-05
481791,1.10E-05
3067928,2.63E-05
277509,9.05E-06
5059740,4.45E-06
2016951,5.17E-06
6599619,1.34E-05
5140781,4.22E-05
234580,4.45E-06
5246706,4.23E-05
904428,8.59E-06
5406768,1.96E-05
1267663,4.50E-05
79803,1.06E-05
504282,4.45E-06
9530129,4.45E-06
1131991,4.45E-06
2541,0.000142215
759019,3.10E-05
984422,4.45E-06
4599018,3.30E-05
8880145,4.45E-06
2401879,4.45E-06
2544506,1.50E-05
9788745,7.73E-06
4502612,1.15E-05
4166526,1.90E-05
4772988,2.66E-05
1515084,3.88E-05
579860,4.62E-06
527702,5.68E-05
8040185,2.01E-05
1210329,0.000589574
183110,1.44E-05
6372842,2.96E-05
536610,9.11E-05
2427065,0.000307784
2325396,1.64E-05
7960700,4.45E-06
207795,8.26E-06
2394511,1.59E-05
2933074,2.96E-05
245502,4.45E-06
40480,1.28E-05
3757557,4.45E-06
1198240,6.20E-06
53162,3.33E-05
2199,2.70E-05
4826138,9.12E-06
1451635,0.000166563
1586880,0.000317536
771848,0.000704804
3245995,1.15E-05
5733241,2.38E-05
1743242,4.72E-05
2588368,0.000528601
198707,2.41E-05
3901341,6.20E-06
5903,2.96E-05
2535698,2.96E-05
2295026,4.45E-06
2938491,1.23E-05
7416176,4.45E-06
2870432,2.96E-05
5347520,4.45E-06
3430879,6.85E-05
1697382,2.96E-05
981047,1.47E-05
661424,1.56E-05
9166797,2.96E-05
1114113,8.26E-06
2300981,4.45E-06
5240072,4.45E-06
1065197,5.21E-05
393758,2.03E-05
745059,0.000120087
1686485,0.000736421
294150,1.26E-05
2755422,4.45E-06
346063,0.000199595
426815,2.96E-05
1063716,9.31E-05
1818198,2.15E-05
4427316,2.57E-05
5906633,7.96E-06
3169224,7.73E-06
352176,2.94E-05
5531119,4.45E-06
2324298,6.99E-06
834168,2.96E-05
4557977,1.23E-05
135108,7.28E-06
1098622,0.000184359
1901185,3.03E-05
724764,6.04E-05
2830958,8.97E-06
2136354,3.87E-05
6442969,8.42E-06
7645429,5.65E-06
1315962,3.78E-05
2276081,1.23E-05
1064660,4.45E-06
938269,8.34E-06
151438,8.26E-06
250611,4.45E-06
302076,1.03E-05
2848541,1.18E-05
838976,4.45E-06
257182,0.000966016
792264,7.54E-06
743593,4.45E-06
756566,1.09E-05
2788131,0.000119559
167735,0.000249269
2062352,7.73E-06
9788565,4.45E-06
5396128,4.45E-06
35,4.95E-06
75314,4.45E-06
1034029,4.45E-06
4513271,2.96E-05
3425529,2.96E-05
4004172,3.73E-05
1857569,2.96E-05
1906743,2.96E-05
191226,2.35E-05
3727640,2.96E-05
2416530,2.96E-05
4907529,7.65E-06
721937,7.15E-06
2648864,2.96E-05
1809855,2.25E-05
22514,5.00E-05
433077,3.42E-05
1753864,2.96E-05
1020151,1.52E-05
359226,1.47E-05
1850382,1.52E-05
4711865,0.000151486
64904,1.81E-05
2370400,1.64E-05
7604744,1.31E-05
345703,4.63E-06
509685,4.45E-06
893780,0.000210771
2010052,7.73E-06
186501,4.45E-06
5954939,7.53E-06
4614870,2.14E-05
880642,1.70E-05
1841194,9.66E-05
1353011,0.00198043
219118,1.76E-05
5414022,1.92E-05
3848616,1.82E-05
2395946,7.73E-06
1624376,4.98E-05
825789,0.000395483
1490931,2.56E-05
387573,7.84E-05
4485747,6.91E-05
4700922,0.000133208
6082645,0.000144883
2931840,3.92E-05
4732576,1.03E-05
2426051,4.45E-06
5477960,4.45E-06
1576183,6.99E-06
5097690,4.45E-06
4729848,6.20E-06
4730953,9.96E-06
956482,1.42E-05
353337,1.03E-05
3992375,4.45E-06
1982546,4.45E-06
1762224,0.000229076
2893712,5.66E-05
814075,6.99E-06
7458648,1.03E-05
5095128,4.49E-05
598289,1.76E-05
1655992,4.45E-06
1423666,4.58E-06
407650,0.00016092
4220815,3.54E-05
4732601,2.96E-05
4323022,4.45E-06
153101,1.34E-05
600494,4.45E-06
6279003,2.96E-05
4590245,2.96E-05
1059070,6.67E-05
4412419,2.96E-05
94197,0.00033903
5107545,8.82E-06
2939597,2.96E-05
2898920,6.20E-06
4611984,4.45E-06
4289346,2.96E-05
2476815,9.19E-06
3338327,5.35E-06
7765789,2.96E-05
5168153,3.40E-05
171209,2.42E-05
4730499,4.45E-06
6295422,2.96E-05
51025,4.76E-05
850494,4.45E-06
3884852,1.79E-05
2595450,2.94E-05
7089933,4.45E-06
2944449,1.44E-05
1501794,0.001209676
1152915,9.25E-06
2150309,1.74E-05
1737083,1.03E-05
1427309,2.97E-05
80836,2.06E-05
2599086,5.03E-05
202913,1.54E-05
229987,1.37E-05
471800,0.00069584
1144916,6.97E-06
3915625,2.96E-05
7364034,4.45E-06
7005132,8.94E-06
4732611,7.73E-06
2145336,2.96E-05
7086875,2.87E-05
5675150,4.45E-06
1469861,1.03E-05
1172798,4.24E-05
7308689,4.45E-06
1887005,1.08E-05
2831353,1.30E-05
1150527,2.60E-05
477102,8.23E-06
4045644,2.96E-05
6773022,1.07E-05
4498614,5.97E-05
6041286,5.36E-06
4608319,6.27E-06
3667920,4.45E-06
7095433,8.18E-06
3600709,0.000651845
436976,3.00E-05
2741011,1.61E-05
1553676,4.45E-06
370286,0.000349767
6412847,8.29E-05
1772651,3.30E-05
1814496,4.45E-06
3841623,2.96E-05
509774,4.45E-06
704805,4.45E-06
1986787,4.45E-06
468327,1.85E-05
45991,7.14E-06
4851255,1.57E-05
2652134,3.62E-05
2425510,5.36E-06
2249098,2.96E-05
6586663,0.000176182
944919,4.78E-05
2647317,7.05E-06
104999,5.84E-05
2332746,6.99E-06
7379929,2.96E-05
7658424,2.11E-05
1170507,2.25E-05
2407340,1.58E-05
5773576,4.45E-06
6874687,5.48E-05
4318382,4.45E-06
1748918,1.67E-05
97938,0.000107678
6174508,0.000247625
489261,1.42E-05
1062194,4.63E-05
437818,6.78E-06
2426148,8.65E-06
607033,0.000120119
2805519,2.57E-05
1320551,7.73E-06
46914,0.000137748
3652210,1.13E-05
1906307,0.00117779
5674467,9.32E-06
419075,2.09E-05
260149,1.65E-05
1241762,4.45E-06
2422098,4.45E-06
515562,4.45E-06
2183554,2.96E-05
135982,1.03E-05
987076,3.66E-05
3856902,7.73E-06
509806,4.45E-06
1362611,8.23E-06
1949099,8.38E-05
217408,0.000252104
2532749,5.65E-06
4732566,4.45E-06
911930,8.20E-06
7666972,8.78E-06
6019035,6.20E-06
2736864,2.96E-05
1306186,1.07E-05
1230302,5.54E-06
2054640,2.96E-05
2038,2.83E-05
195812,4.45E-06
269,4.45E-06
1384652,1.49E-05
2354488,1.18E-05
245540,4.45E-06
1604048,5.16E-05
1248959,6.44E-06
1580322,6.11E-05
2127039,1.88E-05
1560233,1.86E-05
3340927,2.96E-05
6416109,1.59E-05
1934436,2.96E-05
160173,3.59E-05
4732712,4.45E-06
692942,2.33E-05
2164262,2.27E-05
1203580,0.00021322
2313300,2.96E-05
5463636,5.62E-05
519864,7.73E-06
926845,4.56E-05
3869566,1.05E-05
6555535,4.45E-06
1138058,1.01E-05
7168430,4.45E-06
7294900,2.30E-05
159559,8.68E-06
1029944,7.73E-06
3662112,4.45E-06
3512601,4.45E-06
2655260,0.000249333
1654231,2.19E-05
7779499,1.03E-05
1815172,1.26E-05
2104102,4.45E-06
223367,7.19E-06
7014977,2.96E-05
209259,0.000183793
2541487,4.45E-06
1544552,9.62E-06
548997,2.66E-05
4042837,1.14E-05
6846813,7.05E-06
5192846,5.97E-06
1114780,2.96E-05
199748,0.000137312
4688802,4.45E-06
591172,9.07E-06
2943403,4.00E-05
72989,5.99E-06
4704366,4.45E-06
8336315,4.45E-06
3515709,1.03E-05
62024,2.96E-05
6422525,2.96E-05
6769532,1.31E-05
206389,4.45E-06
2065611,8.69E-06
2194019,1.62E-05
3733831,1.06E-05
343872,7.73E-06
2756448,6.20E-06
1804496,0.000224066
4192097,8.23E-06
566920,6.27E-06
819909,4.45E-06
1240798,2.74E-05
372457,1.03E-05
467546,5.61E-06
1599191,6.14E-06
174399,2.96E-05
4649693,4.45E-06
39058,4.45E-06
88916,4.45E-06
4633031,2.96E-05
1964129,1.58E-05
1424361,0.000129807
3157202,6.89E-05
2806198,4.45E-06
692799,4.90E-05
6176815,4.45E-06
4443351,1.03E-05
3298693,7.35E-06
85794,7.75E-05
5876903,2.96E-05
4995241,2.96E-05
4903560,3.59E-05
712294,5.53E-05
1361288,4.45E-06
2082112,4.45E-06
9556496,4.45E-06
813523,0.000174343
5499021,1.13E-05
6051253,9.07E-06
1793428,0.000387829
4407857,2.96E-05
449161,1.75E-05
837649,3.02E-05
3358373,5.65E-06
2251736,2.36E-05
6450422,6.61E-06
5278745,4.45E-06
3233827,7.80E-05
1076391,4.45E-06
2069471,4.45E-06
1526175,1.34E-05
640053,0.000199793
7127497,7.73E-06
135786,7.01E-05
1078583,5.55E-05
217858,4.45E-06
8189939,4.45E-06
690958,7.56E-06
490324,2.96E-05
7134027,1.13E-05
789893,2.96E-05
8293226,4.45E-06
867944,2.75E-05
261122,4.16E-05
159026,4.45E-06
4079010,9.25E-06
423316,6.20E-05
631764,1.09E-05
3076424,1.10E-05
6878602,4.45E-06
5486143,2.96E-05
571,6.66E-05
4058,8.23E-06
7988304,7.73E-06
7416562,1.70E-05
187835,1.28E-05
4013807,4.45E-06
3681199,1.48E-05
477711,2.96E-05
1453749,5.82E-06
175716,9.49E-06
1042438,1.09E-05
343397,4.45E-06
169992,1.52E-05
9184970,4.45E-06
1361227,4.45E-06
3940860,9.60E-06
8203775,4.45E-06
2728842,1.12E-05
1230836,0.000968475
480424,4.45E-06
4325724,4.45E-06
5569115,4.45E-06
903783,5.18E-06
401313,7.73E-06
4003263,6.46E-05
1512380,9.49E-06
1581604,4.45E-06
287311,8.61E-06
6446413,2.96E-05
6569558,8.23E-06
3385707,1.90E-05
2615928,2.96E-05
77358,2.49E-05
1531130,4.96E-05
2563572,4.45E-06
2238336,9.61E-05
2890980,2.96E-05
818182,4.55E-05
6079412,1.32E-05
2945345,4.02E-05
3139567,2.01E-05
2385414,5.42E-06
1410654,1.81E-05
1539019,6.46E-06
1180722,0.000194071
5249931,2.35E-05
2464479,6.43E-06
3038563,4.45E-06
9789059,4.45E-06
1997484,4.45E-06
2907887,7.65E-06
76644,1.23E-05
2664389,6.20E-06
3482975,2.96E-05
1355249,1.61E-05
319266,1.23E-05
48886,9.90E-06
1055339,6.34E-06
420667,1.08E-05
1252040,3.00E-05
3317192,5.79E-06
336657,4.45E-06
611007,8.23E-06
2376893,4.45E-06
1183033,4.45E-06
3538411,7.73E-06
2893413,3.05E-05
5485167,5.05E-05
151445,1.51E-05
431528,2.96E-05
1144057,1.39E-05
4512651,3.96E-05
512922,6.44E-05
393805,1.09E-05
226006,1.26E-05
71,9.05E-06
28400,5.71E-06
1693141,7.73E-06
4770813,0.000100389
