"Id","QLink","QuestionStatus","label_question_phase","label_question_phase_2nd","label_background_type","label_background_type_2nd"
43305882,"https://stackoverflow.com/questions/43305882","accepted","MD","MD","DOC","DOC"
43489912,"https://stackoverflow.com/questions/43489912","closed","ME","others","ML","ML"
43555221,"https://stackoverflow.com/questions/43555221","accepted","MF","MF","ML","ML"
44086209,"https://stackoverflow.com/questions/44086209","no-accepted-answer","MT","MF","ML","ML"
44134021,"https://stackoverflow.com/questions/44134021","no-accepted-answer","DP","others","DOC","DOC"
44160030,"https://stackoverflow.com/questions/44160030","no-accepted-answer","MT","MT","ML","ML"
44184099,"https://stackoverflow.com/questions/44184099","no-accepted-answer","MD","MD","DOC","ML DOC"
44242122,"https://stackoverflow.com/questions/44242122","no-accepted-answer","MT","MT","DOC","ML DOC"
48001759,"https://stackoverflow.com/questions/48001759","accepted","DP","DP","DOC","DOC"
49921204,"https://stackoverflow.com/questions/49921204","accepted","MF","MF","ML","ML"
33183557,"https://stackoverflow.com/questions/33183557","no-accepted-answer","DP","DP","DOC","DOC"
33463492,"https://stackoverflow.com/questions/33463492","accepted","DP","DP","DOC","DOC"
33582436,"https://stackoverflow.com/questions/33582436","no-accepted-answer","ME","ME","DOC","DOC"
37432229,"https://stackoverflow.com/questions/37432229","no-accepted-answer","DP","DP","DOC","DOC"
37572355,"https://stackoverflow.com/questions/37572355","accepted","DP","ME","DOC","DOC"
47307866,"https://stackoverflow.com/questions/47307866","accepted","MT","MF","DOC","DOC"
47430467,"https://stackoverflow.com/questions/47430467","no-accepted-answer","MD","DP","DOC","DOC"
48417979,"https://stackoverflow.com/questions/48417979","accepted","MD","others","DOC","DOC"
49104612,"https://stackoverflow.com/questions/49104612","accepted usersolved","MF","ME","ML","ML"
49555438,"https://stackoverflow.com/questions/49555438","no-accepted-answer","DP","DP","DOC","ML DOC"
23678835,"https://stackoverflow.com/questions/23678835","accepted","ME","ME","DOC","DOC"
26836729,"https://stackoverflow.com/questions/26836729","accepted","MF","MF","ML","ML"
31612074,"https://stackoverflow.com/questions/31612074","no-accepted-answer","MD","MD","DOC","DOC"
33017053,"https://stackoverflow.com/questions/33017053","accepted","ME","ME","ML","DOC"
35129424,"https://stackoverflow.com/questions/35129424","no-accepted-answer","ME","ME","ML","ML"
35842598,"https://stackoverflow.com/questions/35842598","accepted","DP","DP","DOC","DOC"
35930950,"https://stackoverflow.com/questions/35930950","accepted","DP","DP","DOC","DOC"
