"Q.Id","Q.CreationDate","A.AcceptedAnswerId","A.OwnerUserId","A.LastEditorUserId","A.Score","A.CommentCount","A.CreationDate"
10002491,"2012-04-03 22:41:20","None","98806","None",5,0,"2012-04-03 23:33:40"
2678993,"2010-04-20 22:01:07","None","215380","215380",1,0,"2012-04-04 10:36:52"
10001521,"2012-04-03 21:16:51","None","867692","None",2,0,"2012-04-04 19:41:31"
10002782,"2012-04-03 23:10:27","None","1178007","None",1,0,"2012-04-04 23:09:29"
10025998,"2012-04-05 09:24:18","None","1235055","1235055",6,0,"2012-04-05 13:08:02"
10013524,"2012-04-04 14:44:44","None","786318","None",3,0,"2012-04-05 14:12:13"
10035280,"2012-04-05 20:09:36","None","741442","None",5,0,"2012-04-05 20:36:44"
10035517,"2012-04-05 20:27:32","None","741442","490018",2,6,"2012-04-05 20:48:32"
10037239,"2012-04-05 23:05:59","None","324364","783421",11,5,"2012-04-06 03:44:49"
10032923,"2012-04-05 17:08:40","None","137353","667810",29,2,"2012-04-06 07:17:26"
10018821,"2012-04-04 20:34:15","None","1048170","1048170",2,3,"2012-04-06 17:00:14"
10030891,"2012-04-05 14:50:33","None","1317932","None",1,0,"2012-04-06 17:08:57"
100469,"2008-09-19 08:23:47","None","17465","None",14,1,"2008-09-19 08:26:09"
10050705,"2012-04-07 00:34:43","None","498609","498609",6,0,"2012-04-07 00:53:45"
10046407,"2012-04-06 16:39:57","None","241379","None",7,0,"2012-04-07 03:09:25"
10053414,"2012-04-07 09:46:23","None","395857","None",5,0,"2012-04-07 10:37:04"
10059594,"2012-04-08 00:56:19","None","741442","4486860",633,11,"2012-04-08 12:13:17"
10069418,"2012-04-09 05:45:35","None","25990","None",3,1,"2012-04-09 05:56:53"
10043293,"2012-04-06 00:09:28","None","777186","777186",3,7,"2012-04-09 10:23:30"
1007215,"2009-06-17 14:00:46","None","40916","40916",4,9,"2009-06-17 14:26:48"
10074522,"2012-04-09 14:14:41","None","1133019","1133019",0,0,"2012-04-09 14:50:06"
10075122,"2012-04-09 14:58:37","None","324364","None",6,5,"2012-04-09 17:54:37"
10046883,"2012-04-06 17:23:18","None","1203147","None",1,0,"2012-04-09 18:17:30"
10079163,"2012-04-09 20:11:04","None","1179026","None",11,4,"2012-04-09 20:21:11"
10082003,"2012-04-10 01:31:42","None","115738","None",1,1,"2012-04-10 02:04:08"
10077647,"2012-04-09 18:10:09","None","741442","741442",1,3,"2012-04-10 11:19:25"
10090628,"2012-04-10 14:25:59","None","915743","915743",1,4,"2012-04-10 15:41:07"
10093090,"2012-04-10 16:59:06","None","1297881","None",1,0,"2012-04-10 17:08:45"
10058052,"2012-04-07 20:25:32","None","1266303","None",5,4,"2012-04-10 22:04:23"
